,vehicle_id,time,longitude,latitude
8170,129,23,356.85,613.96
8171,130,23,707.51,499.41
8172,131,23,489.55,821.41
8173,127,24,721.74,173.46
8174,129,24,366.37,609.05
8175,130,24,706.67,521.83
8176,131,24,489.99,809.46
8177,127,25,722.18,155.26
8178,129,25,376.7,603.72
8179,130,25,705.86,544.12
8180,131,25,490.5,795.77
8181,127,26,722.82,137.33
8182,129,26,383.5,600.21
8183,130,26,705.03,566.53
8184,131,26,491.04,781.12
8185,127,27,723.87,119.59
8186,129,27,387.57,598.11
8187,130,27,704.35,588.22
8188,131,27,491.54,767.34
8189,127,28,724.91,102.47
8190,129,28,388.44,595.62
8191,130,28,703.86,610.28
8192,131,28,492.15,753.68
8193,127,29,725.85,84.4
8194,129,29,385.49,595.58
8195,130,29,703.17,633.11
8196,131,29,492.83,739.99
8197,127,30,726.37,66.79
8198,129,30,380.41,598.21
8199,130,30,702.04,655.61
8200,131,30,493.55,725.72
8201,127,31,726.89,49.55
8202,129,31,373.83,601.6
8203,130,31,701.74,677.97
8204,131,31,494.28,711.29
8205,127,32,727.36,31.81
8206,129,32,365.09,606.12
8207,130,32,700.72,700.59
8208,131,32,494.97,697.53
8209,129,33,354.77,611.44
8210,130,33,700.09,722.34
8211,131,33,495.71,682.87
8212,132,33,590.74,431.87
8213,130,34,699.21,744.72
8214,131,34,496.4,669.08
8215,132,34,589.08,431.84
8216,130,35,698.42,767.43
8217,131,35,497.13,654.64
8218,132,35,586.03,431.78
8219,130,36,697.64,789.93
8220,131,36,497.84,640.43
8221,132,36,581.16,431.68
8222,130,37,696.88,811.92
8223,131,37,498.59,625.63
8224,132,37,574.59,431.55
8225,130,38,696.4,834.7
8226,131,38,499.12,615.06
8227,132,38,566.41,431.39
8228,130,39,695.05,857.42
8229,131,39,499.44,608.66
8230,132,39,556.68,431.12
8231,130,40,693.85,879.3
8232,131,40,498.99,600.31
8233,132,40,545.51,430.58
8234,130,41,692.9,901.65
8235,131,41,492.58,595.78
8236,132,41,532.45,429.82
8237,130,42,692.07,923.41
8238,131,42,484.73,595.22
8239,132,42,520.7,429.13
8240,130,43,691.22,945.84
8241,131,43,474.78,594.77
8242,132,43,512.89,428.67
8243,130,44,690.32,968.32
8244,131,44,463.03,594.23
8245,132,44,509.57,428.48
8246,130,45,689.25,990.04
8247,131,45,448.78,593.58
8248,132,45,507.47,430.07
8249,130,46,688.31,1008.99
8250,131,46,434.69,592.94
8251,132,46,509.0,431.65
8252,130,47,687.53,1023.44
8253,131,47,420.25,592.28
8254,132,47,513.35,431.9
8255,130,48,686.93,1034.19
8256,131,48,408.06,591.72
8257,132,48,519.34,432.25
8258,130,49,686.52,1041.38
8259,131,49,399.98,591.36
8260,132,49,527.36,432.72
8261,133,49,608.7,600.57
