,vehicle_id,time,latitude,longitude
955,15,38,600.39,602.91
956,16,38,597.59,545.78
957,17,38,386.37,816.84
958,14,39,590.27,707.53
959,15,39,600.13,594.52
960,16,39,597.15,533.99
961,17,39,384.63,816.28
962,14,40,583.26,707.65
963,15,40,599.63,583.81
964,16,40,596.73,522.54
965,17,40,384.07,813.51
966,14,41,574.83,707.93
967,15,41,598.98,572.12
968,16,41,596.31,511.17
969,17,41,383.89,808.59
970,14,42,564.89,708.3
971,15,42,598.32,560.2
972,16,42,596.25,504.3
973,17,42,383.63,801.6
974,14,43,553.57,708.71
975,15,43,597.69,547.76
976,16,43,598.36,498.77
977,17,43,383.3,792.63
978,18,43,248.17,183.49
979,14,44,540.61,709.19
980,15,44,597.19,535.23
981,16,44,604.6,496.45
982,17,44,382.89,781.32
983,18,44,249.38,181.42
984,14,45,526.33,709.71
985,15,45,596.75,523.19
986,16,45,613.52,496
987,17,45,382.43,768.85
988,18,45,251.26,178.2
989,14,46,509.91,710.32
990,15,46,596.31,511.05
991,16,46,623.77,495.48
992,17,46,381.97,756.48
993,18,46,254.04,173.44
994,16,47,635.11,494.91
995,17,47,381.5,743.84
996,18,47,257.88,166.87
997,16,48,646.83,494.32
998,17,48,381.09,732.7
999,18,48,262.49,158.99
1000,16,49,657.74,493.77
1001,17,49,380.91,725.14
1002,18,49,266.63,151.9
1003,16,50,668.87,493.21
1004,17,50,381.89,717.15
1005,18,50,270.04,146.71
1006,16,51,679.91,492.65
1007,17,51,388.83,712.25
1008,18,51,275.71,143.87
1009,16,52,691.25,492.08
1010,17,52,397.46,711.21
1011,18,52,282.04,146.07
1012,16,53,702.82,491.5
1013,17,53,408.3,710.84
1014,18,53,289.48,150.33
1015,16,54,715,490.89
1016,17,54,420.84,710.41
1017,18,54,298.2,155.31
1018,16,55,726.34,490.31
1019,17,55,435.23,709.89
1020,18,55,308.9,161.42
1021,16,56,738.11,489.72
1022,17,56,452.01,709.27
1023,18,56,321.74,168.77
1024,16,57,749.46,489.15
1025,17,57,471,708.58
1026,18,57,336.71,177.32
1027,17,58,491.04,707.84
1028,18,58,353.74,187.06
1029,17,59,511.01,707.07
1030,18,59,371.63,197.29
1031,19,59,267.71,399.82
1032,17,0,531.86,706.31
1033,18,0,388.92,207.17
1034,19,0,269.24,399.76
1035,17,1,551.95,705.57
1036,18,1,406.32,217.11
1037,19,1,272.74,399.62
1038,17,2,571.27,704.86
1039,18,2,421.38,225.72
1040,19,2,277.54,399.42
1041,17,3,586.1,704.38
1042,18,3,432.54,232.1
1043,19,3,284.92,399.12
1044,17,4,596.43,704.28
1045,18,4,439.79,236.24
1046,19,4,294.1,398.75
1047,17,5,602.06,703.06
1048,18,5,443.78,239
1049,19,5,305.43,398.29
1050,17,6,605.05,697.67
1051,18,6,446.13,244.54
1052,19,6,318.5,397.76
1053,17,7,604.87,691.01
1054,18,7,443.92,250.38
1055,19,7,333.17,397.17
1056,17,8,604.56,681.86
1057,18,8,439.86,257.11
1058,19,8,348.92,396.53
1059,17,9,604.18,670.76
1060,18,9,434.47,266.05
1061,19,9,363.87,395.92
1062,17,10,603.73,658.78
1063,18,10,427.87,277.02
1064,19,10,378.84,395.31
1065,17,11,603.02,646.25
1066,18,11,421.32,287.89
1067,19,11,394.54,394.68
1068,17,12,602.18,633.31
1069,18,12,419.39,299.75
1070,19,12,405.75,394.22
1071,17,13,601.36,620.77
1072,18,13,420.22,312.62
1073,19,13,412.46,393.95
1074,17,14,600.84,612.72
1075,18,14,420.98,324.32
1076,19,14,419.68,392.93
1077,17,15,600.37,602.34
1078,18,15,421.79,336.82
1079,19,15,421.84,387.17
1080,17,16,599.95,589.57
1081,18,16,422.58,348.99
1082,19,16,421.29,378.58
1083,17,17,599.29,577.67
1084,18,17,423.39,361.58
1085,19,17,420.63,368.48
1086,20,17,421.56,382.83
1087,17,18,598.61,565.44
1088,18,18,424.21,374.12
1089,19,18,419.89,356.95
1090,20,18,421.46,381.31
1091,17,19,597.93,553.05
1092,18,19,425.01,386.52
